Source,Target,Weight
和尚,林黛玉,64
和尚,贾母,98
和尚,王夫人,417
和尚,薛宝钗,221
和尚,贾宝玉,623
和尚,王熙凤,42
和尚,贾政,113
和尚,贾琏,186
和尚,袭人,194
和尚,贾惜春,40
和尚,麝月,41
鸳鸯,老婆子,82
鸳鸯,贾宝玉,1011
鸳鸯,袭人,239
鸳鸯,贾母,3050
鸳鸯,薛姨妈,437
鸳鸯,王夫人,419
鸳鸯,王熙凤,1480
鸳鸯,薛宝钗,440
鸳鸯,林黛玉,403
鸳鸯,贾迎春,132
鸳鸯,贾探春,187
鸳鸯,贾惜春,101
鸳鸯,紫鹃,71
鸳鸯,平儿,361
鸳鸯,史湘云,394
鸳鸯,李纨,248
鸳鸯,刘姥姥,725
鸳鸯,邢夫人,208
鸳鸯,尤氏,210
鸳鸯,贾赦,57
鸳鸯,贾琏,338
鸳鸯,宝琴,68
鸳鸯,贾政,117
林黛玉,贾母,2907
林黛玉,贾赦,70
林黛玉,和尚,64
林黛玉,王熙凤,1062
林黛玉,贾琏,104
林黛玉,邢夫人,166
林黛玉,王夫人,719
林黛玉,贾宝玉,6577
林黛玉,贾迎春,174
林黛玉,贾探春,805
林黛玉,贾惜春,254
林黛玉,雪雁,929
林黛玉,袭人,1549
林黛玉,李纨,565
林黛玉,薛姨妈,460
林黛玉,薛宝钗,2664
林黛玉,贾政,116
林黛玉,周瑞家的,87
林黛玉,刘姥姥,135
林黛玉,香菱,259
林黛玉,尤氏,55
林黛玉,紫鹃,2440
林黛玉,晴雯,304
林黛玉,麝月,113
林黛玉,平儿,242
林黛玉,莺儿,76
林黛玉,史湘云,1005
林黛玉,鸳鸯,403
林黛玉,老婆子,119
林黛玉,妙玉,141
林黛玉,宝琴,202
林黛玉,芳官,103
贾珍,贾蓉,503
贾珍,贾赦,140
贾珍,贾政,202
贾珍,贾宝玉,233
贾珍,薛蟠,94
贾珍,贾琏,478
贾珍,王夫人,99
贾珍,贾母,511
贾珍,王熙凤,213
贾珍,尤氏,186
贾珍,邢夫人,99
贾珍,老婆子,49
贾蓉,贾珍,503
贾蓉,贾赦,45
贾蓉,贾政,59
贾蓉,贾宝玉,125
贾蓉,王熙凤,296
贾蓉,王夫人,48
贾蓉,贾母,385
贾蓉,尤氏,141
贾蓉,薛蟠,70
贾蓉,邢夫人,45
贾蓉,贾琏,545
贾蓉,老婆子,46
贾赦,贾珍,140
贾赦,贾蓉,45
贾赦,贾政,478
贾赦,贾宝玉,324
贾赦,林黛玉,70
贾赦,贾母,650
贾赦,王熙凤,152
贾赦,贾琏,224
贾赦,邢夫人,120
贾赦,王夫人,96
贾赦,尤氏,40
贾赦,鸳鸯,57
贾政,贾珍,202
贾政,贾蓉,59
贾政,贾赦,478
贾政,贾宝玉,2139
贾政,薛蟠,53
贾政,薛宝钗,223
贾政,贾琏,492
贾政,王夫人,744
贾政,贾母,1905
贾政,薛姨妈,123
贾政,林黛玉,116
贾政,贾迎春,49
贾政,袭人,199
贾政,尤氏,75
贾政,贾芸,64
贾政,邢夫人,207
贾政,王熙凤,306
贾政,贾探春,79
贾政,贾环,106
贾政,贾惜春,60
贾政,和尚,113
贾政,赵姨娘,45
贾政,薛蝌,46
贾政,鸳鸯,117
贾宝玉,贾珍,233
贾宝玉,贾蓉,125
贾宝玉,贾赦,324
贾宝玉,贾政,2139
贾宝玉,林黛玉,6577
贾宝玉,王夫人,3587
贾宝玉,贾母,7717
贾宝玉,贾探春,1216
贾宝玉,雪雁,362
贾宝玉,贾迎春,308
贾宝玉,袭人,7409
贾宝玉,贾惜春,486
贾宝玉,薛宝钗,4721
贾宝玉,邢夫人,312
贾宝玉,晴雯,2654
贾宝玉,麝月,1613
贾宝玉,刘姥姥,203
贾宝玉,周瑞家的,129
贾宝玉,薛姨妈,867
贾宝玉,莺儿,572
贾宝玉,和尚,623
贾宝玉,李纨,657
贾宝玉,王熙凤,2841
贾宝玉,尤氏,247
贾宝玉,平儿,749
贾宝玉,紫鹃,1687
贾宝玉,薛蟠,357
贾宝玉,老婆子,240
贾宝玉,贾琏,614
贾宝玉,贾芸,269
贾宝玉,贾环,307
贾宝玉,史湘云,1409
贾宝玉,鸳鸯,1011
贾宝玉,香菱,548
贾宝玉,赵姨娘,173
贾宝玉,妙玉,540
贾宝玉,薛蝌,41
贾宝玉,宝琴,263
贾宝玉,芳官,763
贾迎春,贾探春,181
贾迎春,贾惜春,61
贾迎春,林黛玉,174
贾迎春,贾母,591
贾迎春,王夫人,223
贾迎春,王熙凤,262
贾迎春,贾宝玉,308
贾迎春,薛姨妈,69
贾迎春,薛宝钗,232
贾迎春,贾政,49
贾迎春,邢夫人,206
贾迎春,周瑞家的,123
贾迎春,李纨,67
贾迎春,晴雯,46
贾迎春,香菱,47
贾迎春,史湘云,118
贾迎春,鸳鸯,132
贾迎春,平儿,47
贾迎春,刘姥姥,46
贾探春,贾迎春,181
贾探春,贾惜春,185
贾探春,林黛玉,805
贾探春,贾母,930
贾探春,王夫人,303
贾探春,王熙凤,652
贾探春,贾宝玉,1216
贾探春,薛宝钗,575
贾探春,邢夫人,63
贾探春,周瑞家的,85
贾探春,李纨,371
贾探春,贾政,79
贾探春,麝月,54
贾探春,晴雯,53
贾探春,袭人,341
贾探春,薛姨妈,86
贾探春,香菱,163
贾探春,莺儿,50
贾探春,史湘云,380
贾探春,赵姨娘,106
贾探春,鸳鸯,187
贾探春,紫鹃,166
贾探春,平儿,364
贾探春,尤氏,264
贾探春,宝琴,156
贾探春,老婆子,67
贾探春,芳官,49
贾惜春,贾迎春,61
贾惜春,贾探春,185
贾惜春,林黛玉,254
贾惜春,贾母,442
贾惜春,王夫人,201
贾惜春,王熙凤,337
贾惜春,贾宝玉,486
贾惜春,薛宝钗,218
贾惜春,周瑞家的,73
贾惜春,袭人,74
贾惜春,薛姨妈,56
贾惜春,史湘云,92
贾惜春,贾政,60
贾惜春,平儿,61
贾惜春,李纨,159
贾惜春,鸳鸯,101
贾惜春,紫鹃,58
贾惜春,老婆子,45
贾惜春,尤氏,230
贾惜春,贾琏,47
贾惜春,和尚,40
贾惜春,妙玉,330
贾琏,林黛玉,104
贾琏,贾母,1383
贾琏,王熙凤,1591
贾琏,贾赦,224
贾琏,贾政,492
贾琏,贾珍,478
贾琏,王夫人,534
贾琏,薛姨妈,122
贾琏,刘姥姥,141
贾琏,周瑞家的,69
贾琏,平儿,830
贾琏,贾宝玉,614
贾琏,香菱,245
贾琏,贾蓉,545
贾琏,邢夫人,147
贾琏,薛宝钗,153
贾琏,尤氏,112
贾琏,袭人,103
贾琏,和尚,186
贾琏,贾芸,88
贾琏,老婆子,141
贾琏,鸳鸯,338
贾琏,史湘云,41
贾琏,贾惜春,47
贾琏,宝蟾,155
贾母,林黛玉,2907
贾母,贾赦,650
贾母,和尚,98
贾母,王熙凤,6492
贾母,贾琏,1383
贾母,邢夫人,1386
贾母,王夫人,3190
贾母,贾宝玉,7717
贾母,贾迎春,591
贾母,贾探春,930
贾母,贾惜春,442
贾母,雪雁,242
贾母,袭人,1729
贾母,薛蟠,65
贾母,薛姨妈,1755
贾母,贾政,1905
贾母,贾珍,511
贾母,薛宝钗,2807
贾母,周瑞家的,199
贾母,刘姥姥,960
贾母,平儿,872
贾母,李纨,1056
贾母,尤氏,1158
贾母,贾蓉,385
贾母,莺儿,147
贾母,晴雯,480
贾母,麝月,336
贾母,老婆子,337
贾母,贾芸,80
贾母,贾环,120
贾母,史湘云,1283
贾母,鸳鸯,3050
贾母,香菱,199
贾母,赵姨娘,150
贾母,紫鹃,797
贾母,妙玉,177
贾母,薛蝌,97
贾母,宝琴,362
贾母,芳官,65
王熙凤,林黛玉,1062
王熙凤,贾母,6492
王熙凤,贾赦,152
王熙凤,贾琏,1591
王熙凤,王夫人,1807
王熙凤,贾迎春,262
王熙凤,贾探春,652
王熙凤,贾惜春,337
王熙凤,刘姥姥,824
王熙凤,周瑞家的,445
王熙凤,平儿,1966
王熙凤,贾蓉,296
