Source,Target,Weight
和尚,王夫人,417
和尚,薛宝钗,221
和尚,贾宝玉,623
和尚,贾政,113
和尚,贾琏,186
和尚,袭人,194
鸳鸯,贾宝玉,1005
鸳鸯,袭人,239
鸳鸯,贾母,3043
鸳鸯,薛姨妈,432
鸳鸯,王夫人,419
鸳鸯,王熙凤,1473
鸳鸯,薛宝钗,434
鸳鸯,林黛玉,403
鸳鸯,贾迎春,132
鸳鸯,贾探春,187
鸳鸯,贾惜春,101
鸳鸯,平儿,361
鸳鸯,史湘云,394
鸳鸯,李纨,248
鸳鸯,刘姥姥,725
鸳鸯,邢夫人,208
鸳鸯,尤氏,203
鸳鸯,贾琏,338
鸳鸯,贾政,117
林黛玉,贾母,2887
林黛玉,王熙凤,1055
林黛玉,贾琏,104
林黛玉,邢夫人,166
林黛玉,王夫人,719
林黛玉,贾宝玉,6544
林黛玉,贾迎春,174
林黛玉,贾探春,780
林黛玉,贾惜春,252
林黛玉,雪雁,925
林黛玉,袭人,1546
林黛玉,李纨,565
林黛玉,薛姨妈,454
林黛玉,薛宝钗,2643
林黛玉,贾政,116
林黛玉,刘姥姥,135
林黛玉,香菱,251
林黛玉,紫鹃,2432
林黛玉,晴雯,304
林黛玉,麝月,113
林黛玉,平儿,242
林黛玉,史湘云,992
林黛玉,鸳鸯,403
林黛玉,老婆子,117
林黛玉,妙玉,136
林黛玉,宝琴,198
林黛玉,芳官,103
贾珍,贾蓉,491
贾珍,贾赦,140
贾珍,贾政,201
贾珍,贾宝玉,232
贾珍,贾琏,478
贾珍,贾母,506
贾珍,王熙凤,213
贾珍,尤氏,185
贾蓉,贾珍,491
贾蓉,贾宝玉,124
贾蓉,王熙凤,296
贾蓉,贾母,383
贾蓉,尤氏,141
贾蓉,贾琏,545
贾赦,贾珍,140
贾赦,贾政,478
贾赦,贾宝玉,323
贾赦,贾母,644
贾赦,王熙凤,151
贾赦,贾琏,224
贾赦,邢夫人,120
贾政,贾珍,201
贾政,贾赦,478
贾政,贾宝玉,2124
贾政,薛宝钗,212
贾政,贾琏,492
贾政,王夫人,744
贾政,贾母,1868
贾政,薛姨妈,122
贾政,林黛玉,116
贾政,袭人,199
贾政,邢夫人,207
贾政,王熙凤,305
贾政,贾环,106
贾政,和尚,113
贾政,鸳鸯,117
贾宝玉,贾珍,232
贾宝玉,贾蓉,124
贾宝玉,贾赦,323
贾宝玉,贾政,2124
贾宝玉,林黛玉,6544
贾宝玉,王夫人,3575
贾宝玉,贾母,7651
贾宝玉,贾探春,1199
贾宝玉,雪雁,360
贾宝玉,贾迎春,308
贾宝玉,袭人,7398
贾宝玉,贾惜春,482
贾宝玉,薛宝钗,4632
贾宝玉,邢夫人,310
贾宝玉,晴雯,2654
贾宝玉,麝月,1613
贾宝玉,刘姥姥,203
贾宝玉,周瑞家的,129
贾宝玉,薛姨妈,841
贾宝玉,莺儿,570
贾宝玉,和尚,623
贾宝玉,李纨,654
贾宝玉,王熙凤,2830
贾宝玉,尤氏,242
贾宝玉,平儿,748
贾宝玉,紫鹃,1677
贾宝玉,薛蟠,357
贾宝玉,老婆子,240
贾宝玉,贾琏,608
贾宝玉,贾芸,269
贾宝玉,贾环,307
贾宝玉,史湘云,1406
贾宝玉,鸳鸯,1005
贾宝玉,香菱,548
贾宝玉,赵姨娘,173
贾宝玉,妙玉,528
贾宝玉,宝琴,263
贾宝玉,芳官,763
贾迎春,贾探春,181
贾迎春,林黛玉,174
贾迎春,贾母,587
贾迎春,王夫人,223
贾迎春,王熙凤,260
贾迎春,贾宝玉,308
贾迎春,薛宝钗,232
贾迎春,邢夫人,206
贾迎春,周瑞家的,123
贾迎春,史湘云,118
贾迎春,鸳鸯,132
贾探春,贾迎春,181
贾探春,贾惜春,183
贾探春,林黛玉,780
贾探春,贾母,920
贾探春,王夫人,303
贾探春,王熙凤,647
贾探春,贾宝玉,1199
贾探春,薛宝钗,569
贾探春,李纨,371
贾探春,袭人,341
贾探春,香菱,155
贾探春,史湘云,378
贾探春,赵姨娘,106
贾探春,鸳鸯,187
贾探春,紫鹃,166
贾探春,平儿,364
贾探春,尤氏,262
贾探春,宝琴,155
贾惜春,贾探春,183
贾惜春,林黛玉,252
贾惜春,贾母,438
贾惜春,王夫人,201
贾惜春,王熙凤,336
贾惜春,贾宝玉,482
贾惜春,薛宝钗,213
贾惜春,李纨,159
贾惜春,鸳鸯,101
贾惜春,尤氏,229
贾惜春,妙玉,323
贾琏,林黛玉,104
贾琏,贾母,1381
贾琏,王熙凤,1591
贾琏,贾赦,224
贾琏,贾政,492
贾琏,贾珍,478
贾琏,王夫人,534
贾琏,薛姨妈,122
贾琏,刘姥姥,141
贾琏,平儿,830
贾琏,贾宝玉,608
贾琏,香菱,245
贾琏,贾蓉,545
贾琏,邢夫人,147
贾琏,薛宝钗,147
贾琏,尤氏,112
贾琏,袭人,103
贾琏,和尚,186
贾琏,老婆子,141
贾琏,鸳鸯,338
贾琏,宝蟾,155
贾母,林黛玉,2887
